STATE/UT,Area (km),Population,Literacy Rate (%)
RAJASTHAN,342239,81032689,69.7
MADHYA PRADESH,308252,85358371,73.7
MAHARASHTRA,307713,128466921,84.8
UTTAR PRADESH,240928,237882725,73
GUJARAT,196024,69618555,82.4
KARNATAKA,191791,69371567,77.2
ANDHRA PRADESH,162975,54059448,66.4
ODISHA,155707,47630128,77.3
CHHATTISGARH,135192,29436231,77.3
TAMIL NADU,130058,78881463,82.9
TELANGANA,112077,39362732,72.8
BIHAR,94163,128633376,70.9
WEST BENGAL,88752,101438931,80.5
ARUNACHAL PRADESH,83743,1530531,66.95
JHARKHAND,79716,38593948,74.3
ASSAM,78438,35607039,85.9
LADAKH,59146,293492,80.48
HIMACHAL PRADESH,55673,7432643,86.6
UTTARAKHAND,53483,11250858,87.6
PUNJAB,50362,30841832,83.7
HARYANA,44212,28204692,80.4
JAMMU & KASHMIR,42241,13606320,77.3
KERALA,38863,35699443,96.2
MEGHALAYA,22429,3366710,75.48
MANIPUR,22327,3091545,79.85
MIZORAM,21081,1272898,91.58
NAGALAND,16579,2248214,80.11
TRIPURA,10491,4169794,87.75
A & N ISLANDS,8249,417036,86.27
SIKKIM,7096,690251,82.2
GOA,3702,1586250,87.4
DELHI UT,1484,19216589,88.7
D & N HAVELI,36.29,28516,88.12
DAMAN & DIU,112,242911,87.07
PUDUCHERRY,479,1413542,86.55
CHANDIGARH,114,1158473,86.05
LAKSHADWEEP,32,73183,92.28
